,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
4400,UEI-IMD-FL-2013-0128,20130715,20130715,1.0,heavy rains ,,Faizabad,Uttar Pradesh,,,,,1,3,,,One person died and 3 others injured. ,,IMD,
4401,UEI-IMD-FL-2013-0129,20130726,20130726,1.0,heavy rains ,,Balrampur ,Uttar Pradesh,,,,,2,,,,2 persons died.,,IMD,
4402,UEI-IMD-FL-2013-0130,20130817,20130817,1.0,heavy rains ,,Kannauj ,Uttar Pradesh,,,,,15,3,,,15 persons died and 3 others injured. ,i) Damage to some houses reported. ii) Low lying areas flooded. iii) Road/rail traffic disrupted. ,IMD,
4403,UEI-IMD-FL-2013-0131,20130614,20130618,5.0,"heavy to very rainfall/flash floods (saraswati and mandakini rivers and its tributaries triggered by very heavy rainfall and lake burst), cloudburst on jun16 &17 jun, massive landslides and avalanches reported at multiple places. ",,"12 out of 13 districts affected badly and worst affected Chamoli, Pithoragarh, Rudraprayag and Uttarkashi districts. ",Uttarakhand,,,,,"5,000",,,"1,000","i) About 5,000 people- the locals, the pilgrims, the tourists, trakers died/missing. ii) More than thousand livestock perished. ","i) More than thousands of pilgrims of Char Dham on the Gangotri and Yamunotri routes, Hemkund, Roopkunda and tourists/trakers of Valley of flowers stranded. ii) Lakhs of people shifted to safer places. iii) Many roads including state highways, infrastructures, villages washed away/damaged. iv) Many Hydroelectric projects, houses, water schemes, bridges, commercial and residential buildings, hotels, rest houses, shops, temples, telephone towers, vehicles destroyed/ drifted in the floods of rivers. v) Damage to the cash crops especially apple crops reported.    ",IMD,
4404,UEI-IMD-FL-2013-0132,20130524,20130525,2.0,heavy rains ,,South Andaman ,Andaman & Nicobar Islands,,,,,1,,,,One person died. ,Damage to the old and thatched houses reported.,IMD,
4405,UEI-IMD-FL-2013-0133,20130616,20130617,2.0,heavy rains ,,Delhi ,Delhi,,,,,,1,,,One person swept away in Yamuna river. ,,IMD,
4406,UEI-IMD-FL-2013-0134,20131125,20131125,1.0,heavy rains ,,Puducherry ,Pondicherry,,,,,3,,,,3 persons died due to wall collapse.         ,,IMD,
4407,UEI-IMD-FL-2014-0001,20140502,20140503,2.0,heavy rains ,,"Adilabad, Karimnagar, Khammam, Krishna, Kurnool, Medak, Mahaboobnagar, Nalgonda, Nizamabad, Ranagareddy, Warangal and West Godavari ",Andhra Pradesh,,,,,,,,86,86 livestock perished. ,"i) Damage to crops in 2,037 hectares reported. ii) Damage to horticulture in 36,380 hectares reported. iii) Damage to 86 houses reported. ",IMD,
4408,UEI-IMD-FL-2014-0002,20140906,20140909,4.0,heavy rains ,,East & West Godavari and Srikakulam ,Andhra Pradesh,,,,,4,,,,4 persons died.,"Extensive damage to crops in 12,667 hectares reported. ",IMD,
4409,UEI-IMD-FL-2014-0003,20140814,20140818,5.0,heavy rains ,,East Siang and Lohit ,Arunachal Pradesh,,,,,1,,,,One person died in a landslide in East Siang. ,i) Extensive damage to standing crops reported. ii) A wooden bridge of Kadam river washed away disrupting communication along NH 52. ,IMD,
4410,UEI-IMD-FL-2014-0004,20140622,20140628,7.0,flood (brahmaputra and its tributories),,"Darrang, Kamrup (Metro), Lakhimpur, Sonitpur and Udalguri ",Assam,,,,,8,4,,,8 persons died including 4 died in a landslide.,"i) Damage to standing crops reported. ii) About 24,393 people affected of 43 villages affected. iii) Landslide reported. ",IMD,
4411,UEI-IMD-FL-2014-0005,20140708,20140710,3.0,heavy rains ,,Dhemaji ,Assam,,,,,,,,,One person died. ,i) Damage to standing crops reported ii) About 900 people of 100 villages affected. ,IMD,
4412,UEI-IMD-FL-2014-0006,20140714,20140719,6.0,heavy rains ,,Sonitpur ,Assam,,,,,,,,,One person died.,i) About 10 villages affected. ii) Standing crops in 100 hectares damaged. iii) Due to beach embankment flash flood occurred in Gohpur Town causing extensive damage on 19 July ,IMD,
4413,UEI-IMD-FL-2014-0007,20140723,20140730,8.0,flood (singra and soansiri rivers),,"Cachar, Lakhimpur and Sonitpur ",Assam,,,,,16,,,,16 persons died out of which 5 others died in a massive landslide in Cachar Manipur border area.,"i) Extensive damage to the standing crops reported. ii) About 25,000 people of 1200 villages affected. iii) NH-52 beached at the two places. ",IMD,
